Gene,Mutation Type,Age Group,Tumor Type,Clinical Relevance,Pathway,Frequency (%)
BRAF,V600E,0-5y,Pilocytic Astrocytoma,Targeted therapies available; variable outcomes,RAS/MAPK,30
BRAF,V600E,6-10y,Pilocytic Astrocytoma,Targeted therapies available; variable outcomes,RAS/MAPK,30
FGFR1,TKD duplication,6-10y,Dysembryoplastic Neuroepithelial Tumor,May require co-mutations for progression,PI3K/AKT,25
KIAA1549,Fusion,6-10y,Pilocytic Astrocytoma,Linked to good prognosis,RAS/MAPK,40
NF1,SNV,0-5y,Optic Pathway Glioma,Requires monitoring for vision loss,RAS/MAPK,15
PTPN11,SNV,0-5y,Pilocytic Astrocytoma,Modifies FGFR1-driven tumors,RAS/MAPK,10
PTPN11,SNV,11-15y,Pilocytic Astrocytoma,Modifies FGFR1-driven tumors,RAS/MAPK,10
ROS1,Fusion,16-20y,Diffuse Astrocytoma,Rare; poor outcomes,PI3K/AKT,5
IDH1,Mutation,14+,High-Grade Glioma,Associated with adult-like gliomas,Unknown,20
MYBL1,Amplification,0-5y,Low-Grade Glioma,Good prognosis if resectable,Unknown,35
NTRK,Fusion,Varied,Varied Tumors,Linked to targeted therapy potential,Various,10
TP53,Mutation,11-20y,Low-Grade Glioma,Strong association with gliomagenesis; impacts tumor suppression,TP53 Pathway,5
